id,usuario_id,categoria,descripcion,latitud,longitud,distrito,estado,created_at,zona,peso_estado
27,4,Bache,Hueco profundo sin señalizar,-11.942606,-77.042079,Comas,VERIFICADO,2026-06-09 22:56:00,5,1.0
28,2,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.988919,-77.090851,San Martín de Porres,PENDIENTE,2026-06-09 23:51:00,2,0.5
29,49,Acoso,Comentarios y seguimiento a una persona en la calle,-11.979913,-77.016992,San Juan de Lurigancho,VERIFICADO,2026-06-30 02:08:00,5,1.0
30,43,Bache,Vía con múltiples baches tras las lluvias,-12.039646,-77.045375,Cercado de Lima,PENDIENTE,2026-05-13 01:14:00,6,0.5
31,43,Robo,Sustrajeron mi celular en la calle,-12.039824,-76.925199,Ate,PENDIENTE,2026-07-16 00:28:00,7,0.5
32,16,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.060637,-77.015888,La Victoria,VERIFICADO,2026-06-27 18:31:00,0,1.0
33,53,Bache,Vía con múltiples baches tras las lluvias,-12.210121,-76.928525,Villa El Salvador,VERIFICADO,2026-05-12 19:33:00,1,1.0
34,4,Robo,Sustracción de autopartes en la cuadra,-12.027836,-77.040729,Rímac,PENDIENTE,2026-07-10 12:48:00,6,0.5
35,42,Alumbrado deficiente,Falta de iluminación en el paradero,-12.026253,-76.909513,Ate,VERIFICADO,2026-07-20 06:20:00,7,1.0
36,51,Robo,Sustrajeron mi celular en la calle,-12.220962,-76.926705,Villa El Salvador,PENDIENTE,2026-06-30 19:08:00,1,0.5
37,52,Alumbrado deficiente,Falta de iluminación en el paradero,-12.178226,-77.028497,Chorrillos,VERIFICADO,2026-05-29 23:09:00,3,1.0
38,41,Alumbrado deficiente,Farol malogrado en el parque,-12.165719,-76.968843,San Juan de Miraflores,VERIFICADO,2026-05-16 22:53:00,3,1.0
39,16,Bache,Pista deteriorada genera accidentes,-12.065321,-77.021785,La Victoria,PENDIENTE,2026-05-29 04:21:00,0,0.5
40,30,Acoso,Acoso callejero reiterado en la misma zona,-12.024122,-77.04138,Rímac,PENDIENTE,2026-07-23 22:36:00,6,0.5
41,40,Bache,Vía con múltiples baches tras las lluvias,-12.159437,-76.940356,Villa María del Triunfo,VERIFICADO,2026-06-02 18:29:00,1,1.0
42,44,Alumbrado deficiente,Farol malogrado en el parque,-11.987092,-77.089895,San Martín de Porres,PENDIENTE,2026-07-22 13:17:00,2,0.5
43,55,Extorsión,Cobro de cupo a transportista,-12.023086,-77.041922,Rímac,VERIFICADO,2026-06-17 13:29:00,6,1.0
44,52,Alumbrado deficiente,Poste sin luz hace varias semanas,-12.164885,-76.944727,Villa María del Triunfo,PENDIENTE,2026-05-15 07:14:00,1,0.5
45,3,Robo,Sustracción de autopartes en la cuadra,-12.169178,-77.013084,Chorrillos,PENDIENTE,2026-07-05 04:19:00,3,0.5
46,37,Robo,Sustracción de autopartes en la cuadra,-12.062436,-77.01923,La Victoria,VERIFICADO,2026-07-09 05:33:00,0,1.0
47,49,Bache,Hueco profundo sin señalizar,-11.93192,-77.037732,Comas,PENDIENTE,2026-05-08 00:50:00,5,0.5
48,21,Extorsión,Nota de extorsión dejada en el negocio,-12.047426,-77.112192,Callao,VERIFICADO,2026-07-13 04:07:00,8,1.0
49,31,Alumbrado deficiente,Farol malogrado en el parque,-11.937786,-77.054318,Comas,PENDIENTE,2026-05-20 17:03:00,5,0.5
50,43,Bache,Bache grande en plena avenida,-11.874147,-77.06794,Puente Piedra,PENDIENTE,2026-05-11 00:53:00,4,0.5
51,17,Bache,Bache grande en plena avenida,-12.02832,-76.925658,Ate,PENDIENTE,2026-07-23 23:14:00,7,0.5
52,28,Bache,Hueco profundo sin señalizar,-11.932847,-77.037632,Comas,PENDIENTE,2026-05-08 21:04:00,5,0.5
53,12,Extorsión,Nota de extorsión dejada en el negocio,-11.985653,-77.085906,San Martín de Porres,PENDIENTE,2026-06-18 04:56:00,2,0.5
54,19,Acoso,Acoso a estudiantes cerca del colegio,-12.122737,-77.020746,Miraflores,RECHAZADO,2026-06-11 22:52:00,0,0.0
55,17,Bache,Bache grande en plena avenida,-12.148629,-76.978135,San Juan de Miraflores,PENDIENTE,2026-06-10 16:22:00,3,0.5
56,52,Bache,Bache grande en plena avenida,-11.859594,-77.072376,Puente Piedra,RECHAZADO,2026-07-06 04:00:00,4,0.0
57,24,Extorsión,Cobro de cupo a transportista,-11.999148,-77.05151,Independencia,VERIFICADO,2026-05-24 08:52:00,2,1.0
58,26,Alumbrado deficiente,Falta de iluminación en el paradero,-12.032823,-77.037996,Rímac,PENDIENTE,2026-07-23 20:38:00,6,0.5
59,20,Extorsión,Cobro de cupo a transportista,-12.063379,-77.017507,La Victoria,VERIFICADO,2026-05-27 20:48:00,0,1.0
60,19,Bache,Hueco profundo sin señalizar,-12.166234,-76.931721,Villa María del Triunfo,PENDIENTE,2026-07-07 06:35:00,1,0.5
61,16,Alumbrado deficiente,Poste sin luz hace varias semanas,-11.981579,-77.082241,San Martín de Porres,VERIFICADO,2026-06-12 00:26:00,2,1.0
62,39,Bache,Pista deteriorada genera accidentes,-12.038425,-77.044641,Cercado de Lima,PENDIENTE,2026-06-18 03:29:00,6,0.5
63,13,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.97337,-77.069008,Los Olivos,RECHAZADO,2026-06-06 20:38:00,2,0.0
64,39,Robo,Sustracción de autopartes en la cuadra,-12.2212,-76.930638,Villa El Salvador,RECHAZADO,2026-06-18 14:20:00,1,0.0
65,7,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.037387,-76.917782,Ate,PENDIENTE,2026-06-26 19:10:00,7,0.5
66,30,Acoso,Acoso callejero reiterado en la misma zona,-12.038759,-77.03994,Cercado de Lima,PENDIENTE,2026-07-20 23:20:00,6,0.5
67,23,Acoso,Acoso a estudiantes cerca del colegio,-12.17103,-77.022961,Chorrillos,VERIFICADO,2026-06-09 16:05:00,3,1.0
68,29,Acoso,Acoso callejero reiterado en la misma zona,-12.039291,-77.050813,Cercado de Lima,PENDIENTE,2026-07-22 19:34:00,6,0.5
69,42,Bache,Pista deteriorada genera accidentes,-12.212368,-76.933123,Villa El Salvador,RECHAZADO,2026-07-01 04:53:00,1,0.0
70,15,Acoso,Acoso a estudiantes cerca del colegio,-12.031827,-77.03119,Rímac,RECHAZADO,2026-05-09 04:55:00,6,0.0
71,25,Acoso,Comentarios y seguimiento a una persona en la calle,-12.029281,-77.029194,Rímac,PENDIENTE,2026-06-28 03:52:00,6,0.5
72,38,Bache,Bache grande en plena avenida,-11.941369,-77.043498,Comas,PENDIENTE,2026-07-06 19:58:00,5,0.5
73,51,Bache,Hueco profundo sin señalizar,-11.982898,-77.045843,Independencia,VERIFICADO,2026-06-01 05:43:00,2,1.0
74,38,Acoso,Comentarios y seguimiento a una persona en la calle,-11.972384,-76.999239,San Juan de Lurigancho,PENDIENTE,2026-05-26 06:45:00,5,0.5
75,54,Robo,Robo a mano armada a un transeúnte,-12.05759,-77.013366,La Victoria,PENDIENTE,2026-05-04 22:59:00,6,0.5
76,48,Bache,Bache grande en plena avenida,-12.038576,-77.04355,Cercado de Lima,VERIFICADO,2026-05-18 07:14:00,6,1.0
77,26,Robo,Robo a mano armada a un transeúnte,-12.222357,-76.939193,Villa El Salvador,VERIFICADO,2026-05-06 03:38:00,1,1.0
78,38,Acoso,Acoso a estudiantes cerca del colegio,-12.112294,-77.037833,Miraflores,VERIFICADO,2026-07-19 03:01:00,0,1.0
79,52,Robo,Sustrajeron mi celular en la calle,-12.150971,-76.976264,San Juan de Miraflores,VERIFICADO,2026-05-31 05:50:00,3,1.0
80,1,Alumbrado deficiente,Falta de iluminación en el paradero,-12.133644,-76.987954,Surco,VERIFICADO,2026-07-21 02:54:00,3,1.0
81,53,Robo,Sustracción de autopartes en la cuadra,-12.036959,-76.925217,Ate,PENDIENTE,2026-06-14 10:33:00,7,0.5
82,20,Acoso,Acoso callejero reiterado en la misma zona,-12.06222,-77.114534,Callao,VERIFICADO,2026-06-29 15:28:00,8,1.0
83,48,Robo,Sustrajeron mi celular en la calle,-12.068196,-77.015627,La Victoria,PENDIENTE,2026-06-15 12:53:00,0,0.5
84,26,Bache,Hueco profundo sin señalizar,-12.037676,-77.044315,Cercado de Lima,VERIFICADO,2026-06-01 02:08:00,6,1.0
85,19,Acoso,Acoso callejero reiterado en la misma zona,-12.120098,-77.030903,Miraflores,RECHAZADO,2026-05-15 04:20:00,0,0.0
86,23,Alumbrado deficiente,Cuadra completamente oscura de noche,-12.167931,-77.011731,Chorrillos,VERIFICADO,2026-07-09 08:47:00,3,1.0
87,4,Extorsión,Amenaza a comerciante local,-12.142482,-76.991808,Surco,PENDIENTE,2026-07-10 01:48:00,3,0.5
88,41,Robo,Me quitaron la mochila en el paradero,-12.065855,-77.122413,Callao,RECHAZADO,2026-05-24 11:21:00,8,0.0
89,24,Alumbrado deficiente,Falta de iluminación en el paradero,-11.986967,-77.090322,San Martín de Porres,VERIFICADO,2026-05-01 20:33:00,2,1.0
90,7,Extorsión,Nota de extorsión dejada en el negocio,-12.22323,-76.940243,Villa El Salvador,RECHAZADO,2026-05-23 20:04:00,1,0.0
91,11,Robo,Robaron una tienda cerca de mi casa,-12.222546,-76.940341,Villa El Salvador,PENDIENTE,2026-07-16 21:04:00,1,0.5
92,48,Alumbrado deficiente,Falta de iluminación en el paradero,-12.095273,-77.033271,San Isidro,PENDIENTE,2026-05-16 14:21:00,0,0.5
93,6,Robo,Me quitaron la mochila en el paradero,-11.967201,-77.006424,San Juan de Lurigancho,PENDIENTE,2026-06-24 19:33:00,5,0.5
94,16,Acoso,Comentarios y seguimiento a una persona en la calle,-12.037319,-77.046761,Cercado de Lima,VERIFICADO,2026-06-03 19:00:00,6,1.0
95,54,Extorsión,Cobro de cupo a transportista,-12.035717,-77.02497,Rímac,VERIFICADO,2026-06-01 09:48:00,6,1.0
96,6,Acoso,Un sujeto acosó a una mujer en la vereda,-11.977509,-77.082926,San Martín de Porres,VERIFICADO,2026-07-13 00:14:00,2,1.0
97,44,Bache,Vía con múltiples baches tras las lluvias,-12.039357,-77.043939,Cercado de Lima,VERIFICADO,2026-05-05 00:52:00,6,1.0
98,33,Robo,Me quitaron la mochila en el paradero,-12.086509,-77.037502,San Isidro,VERIFICADO,2026-05-13 00:59:00,0,1.0
99,16,Bache,Hueco profundo sin señalizar,-11.977927,-77.075173,Los Olivos,VERIFICADO,2026-07-23 16:53:00,2,1.0
100,40,Alumbrado deficiente,Poste sin luz hace varias semanas,-12.158392,-76.935715,Villa María del Triunfo,PENDIENTE,2026-06-22 19:41:00,1,0.5
101,4,Extorsión,Nota de extorsión dejada en el negocio,-11.943782,-77.054957,Comas,PENDIENTE,2026-06-28 07:59:00,5,0.5
102,11,Bache,Pista deteriorada genera accidentes,-11.983591,-77.044307,Independencia,PENDIENTE,2026-05-15 08:00:00,2,0.5
103,31,Alumbrado deficiente,Falta de iluminación en el paradero,-12.1574,-76.939051,Villa María del Triunfo,PENDIENTE,2026-05-21 01:03:00,1,0.5
104,25,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.964724,-77.080766,Los Olivos,PENDIENTE,2026-05-26 22:34:00,2,0.5
105,32,Extorsión,Nota de extorsión dejada en el negocio,-12.161387,-76.937223,Villa María del Triunfo,VERIFICADO,2026-06-21 19:51:00,1,1.0
106,16,Robo,Sustracción de autopartes en la cuadra,-12.221608,-76.941391,Villa El Salvador,VERIFICADO,2026-06-08 21:45:00,1,1.0
107,24,Alumbrado deficiente,Poste sin luz hace varias semanas,-11.987212,-77.040944,Independencia,PENDIENTE,2026-06-26 02:38:00,2,0.5
108,2,Robo,Me quitaron la mochila en el paradero,-12.119781,-77.026284,Miraflores,VERIFICADO,2026-07-17 20:03:00,0,1.0
109,29,Bache,Hueco profundo sin señalizar,-11.963025,-77.061603,Los Olivos,PENDIENTE,2026-05-11 20:42:00,2,0.5
110,52,Extorsión,Nota de extorsión dejada en el negocio,-12.0984,-77.036205,San Isidro,PENDIENTE,2026-05-24 23:21:00,0,0.5
111,50,Bache,Bache grande en plena avenida,-11.996015,-77.051203,Independencia,PENDIENTE,2026-06-04 19:15:00,2,0.5
112,16,Alumbrado deficiente,Farol malogrado en el parque,-12.043036,-77.046072,Cercado de Lima,PENDIENTE,2026-05-24 11:20:00,6,0.5
113,30,Extorsión,Amenaza a comerciante local,-11.976027,-77.06357,Los Olivos,RECHAZADO,2026-06-14 04:55:00,2,0.0
114,41,Acoso,Acoso callejero reiterado en la misma zona,-12.0567,-77.119933,Callao,PENDIENTE,2026-05-21 04:06:00,8,0.5
115,9,Robo,Robo a mano armada a un transeúnte,-12.03102,-77.030912,Rímac,PENDIENTE,2026-06-24 00:41:00,6,0.5
116,44,Robo,Robaron una tienda cerca de mi casa,-12.215693,-76.924718,Villa El Salvador,PENDIENTE,2026-06-30 07:59:00,1,0.5
117,41,Bache,Bache grande en plena avenida,-12.037828,-77.045755,Cercado de Lima,VERIFICADO,2026-06-04 05:42:00,6,1.0
118,39,Robo,Robaron una tienda cerca de mi casa,-12.028592,-77.037361,Rímac,VERIFICADO,2026-05-01 02:27:00,6,1.0
119,10,Extorsión,Cobro de cupo a transportista,-12.027538,-76.916546,Ate,PENDIENTE,2026-07-07 13:47:00,7,0.5
120,16,Robo,Robo a mano armada a un transeúnte,-12.180231,-77.018021,Chorrillos,VERIFICADO,2026-05-15 17:04:00,3,1.0
121,11,Acoso,Acoso a estudiantes cerca del colegio,-12.133728,-76.986595,Surco,VERIFICADO,2026-07-22 00:02:00,3,1.0
122,22,Extorsión,Nota de extorsión dejada en el negocio,-12.000749,-77.045479,Independencia,VERIFICADO,2026-07-02 21:37:00,2,1.0
123,30,Robo,Robo a mano armada a un transeúnte,-12.021215,-77.040885,Rímac,VERIFICADO,2026-07-01 07:45:00,6,1.0
124,41,Acoso,Acoso callejero reiterado en la misma zona,-12.04769,-77.038124,Cercado de Lima,VERIFICADO,2026-07-18 23:17:00,6,1.0
125,30,Acoso,Un sujeto acosó a una mujer en la vereda,-12.064287,-77.015333,La Victoria,PENDIENTE,2026-06-01 06:25:00,0,0.5
126,30,Acoso,Acoso callejero reiterado en la misma zona,-12.063951,-77.023254,La Victoria,PENDIENTE,2026-05-12 03:59:00,0,0.5
127,30,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.943526,-77.052194,Comas,PENDIENTE,2026-07-10 09:55:00,5,0.5
128,37,Robo,Sustrajeron mi celular en la calle,-12.219728,-76.941644,Villa El Salvador,RECHAZADO,2026-05-17 03:16:00,1,0.0
129,49,Robo,Sustracción de autopartes en la cuadra,-11.981216,-77.076447,San Martín de Porres,PENDIENTE,2026-07-02 09:44:00,2,0.5
130,33,Robo,Me quitaron la mochila en el paradero,-12.16708,-76.942222,Villa María del Triunfo,VERIFICADO,2026-06-16 20:01:00,1,1.0
131,54,Bache,Vía con múltiples baches tras las lluvias,-11.986625,-77.054004,Independencia,VERIFICADO,2026-06-12 21:23:00,2,1.0
132,22,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.153868,-76.963363,San Juan de Miraflores,PENDIENTE,2026-05-07 14:05:00,3,0.5
133,32,Robo,Robo a mano armada a un transeúnte,-11.972893,-77.08836,San Martín de Porres,PENDIENTE,2026-06-26 01:54:00,2,0.5
134,53,Alumbrado deficiente,Falta de iluminación en el paradero,-12.154606,-76.959284,San Juan de Miraflores,PENDIENTE,2026-05-18 11:11:00,3,0.5
135,1,Bache,Vía con múltiples baches tras las lluvias,-12.213604,-76.940213,Villa El Salvador,VERIFICADO,2026-06-13 10:16:00,1,1.0
136,42,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.87292,-77.069841,Puente Piedra,PENDIENTE,2026-06-04 03:35:00,4,0.5
137,20,Robo,Robaron una tienda cerca de mi casa,-12.049103,-77.050172,Cercado de Lima,PENDIENTE,2026-06-23 22:20:00,6,0.5
138,9,Bache,Pista deteriorada genera accidentes,-11.996944,-77.057747,Independencia,PENDIENTE,2026-07-22 02:29:00,2,0.5
139,26,Bache,Hueco profundo sin señalizar,-12.181163,-77.017501,Chorrillos,VERIFICADO,2026-05-23 06:47:00,3,1.0
140,55,Robo,Me quitaron la mochila en el paradero,-12.177306,-77.021136,Chorrillos,VERIFICADO,2026-06-15 03:36:00,3,1.0
141,23,Extorsión,Amenaza a comerciante local,-12.051372,-77.050387,Cercado de Lima,RECHAZADO,2026-07-08 02:07:00,6,0.0
142,28,Alumbrado deficiente,Poste sin luz hace varias semanas,-11.987465,-77.090786,San Martín de Porres,PENDIENTE,2026-07-07 16:29:00,2,0.5
143,30,Extorsión,Amenaza a comerciante local,-12.031814,-77.02676,Rímac,VERIFICADO,2026-06-03 19:41:00,6,1.0
144,15,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.94251,-77.054942,Comas,PENDIENTE,2026-05-30 19:03:00,5,0.5
145,13,Extorsión,Amenaza a comerciante local,-12.0264,-77.029911,Rímac,VERIFICADO,2026-05-22 01:41:00,6,1.0
146,26,Acoso,Un sujeto acosó a una mujer en la vereda,-11.980463,-76.998448,San Juan de Lurigancho,PENDIENTE,2026-06-16 10:44:00,5,0.5
147,35,Alumbrado deficiente,Falta de iluminación en el paradero,-11.986989,-77.089871,San Martín de Porres,PENDIENTE,2026-07-23 19:25:00,2,0.5
148,33,Alumbrado deficiente,Falta de iluminación en el paradero,-11.973048,-77.009135,San Juan de Lurigancho,VERIFICADO,2026-07-19 02:23:00,5,1.0
149,51,Acoso,Acoso callejero reiterado en la misma zona,-12.031583,-77.032164,Rímac,RECHAZADO,2026-06-02 03:10:00,6,0.0
150,33,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.986517,-77.089329,San Martín de Porres,VERIFICADO,2026-07-04 04:40:00,2,1.0
151,22,Extorsión,Nota de extorsión dejada en el negocio,-11.944063,-77.054249,Comas,PENDIENTE,2026-07-09 19:13:00,5,0.5
152,27,Alumbrado deficiente,Falta de iluminación en el paradero,-12.143953,-76.990482,Surco,VERIFICADO,2026-05-13 04:21:00,3,1.0
153,38,Alumbrado deficiente,Cuadra completamente oscura de noche,-12.170494,-77.017039,Chorrillos,RECHAZADO,2026-06-03 00:30:00,3,0.0
154,19,Bache,Bache grande en plena avenida,-12.037842,-77.044388,Cercado de Lima,VERIFICADO,2026-05-25 21:36:00,6,1.0
155,7,Alumbrado deficiente,Falta de iluminación en el paradero,-12.172992,-77.028379,Chorrillos,PENDIENTE,2026-05-06 23:50:00,3,0.5
156,28,Extorsión,Nota de extorsión dejada en el negocio,-12.218459,-76.929664,Villa El Salvador,VERIFICADO,2026-05-11 02:11:00,1,1.0
157,18,Bache,Vía con múltiples baches tras las lluvias,-12.040132,-77.043504,Cercado de Lima,PENDIENTE,2026-06-10 14:45:00,6,0.5
158,6,Robo,Robo a mano armada a un transeúnte,-12.155811,-76.932874,Villa María del Triunfo,PENDIENTE,2026-07-06 20:14:00,1,0.5
159,53,Bache,Hueco profundo sin señalizar,-12.168149,-76.926989,Villa María del Triunfo,RECHAZADO,2026-05-19 00:54:00,1,0.0
160,5,Extorsión,Nota de extorsión dejada en el negocio,-12.060044,-77.122607,Callao,PENDIENTE,2026-05-10 00:32:00,8,0.5
161,23,Alumbrado deficiente,Farol malogrado en el parque,-12.158535,-76.92957,Villa María del Triunfo,PENDIENTE,2026-05-18 20:21:00,1,0.5
162,42,Alumbrado deficiente,Farol malogrado en el parque,-11.970568,-77.06802,Los Olivos,PENDIENTE,2026-07-09 11:40:00,2,0.5
163,36,Bache,Bache grande en plena avenida,-11.974497,-77.004687,San Juan de Lurigancho,PENDIENTE,2026-05-03 23:16:00,5,0.5
164,26,Acoso,Acoso callejero reiterado en la misma zona,-12.090308,-77.039191,San Isidro,PENDIENTE,2026-05-11 04:45:00,0,0.5
165,37,Robo,Robo a mano armada a un transeúnte,-12.116281,-77.020564,Miraflores,PENDIENTE,2026-05-28 01:33:00,0,0.5
166,48,Robo,Me quitaron la mochila en el paradero,-12.221057,-76.941047,Villa El Salvador,PENDIENTE,2026-06-13 16:45:00,1,0.5
167,49,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.172082,-77.012641,Chorrillos,VERIFICADO,2026-05-30 01:36:00,3,1.0
168,37,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.986414,-77.091683,San Martín de Porres,VERIFICADO,2026-07-08 11:04:00,2,1.0
169,44,Robo,Robaron una tienda cerca de mi casa,-11.943866,-77.048336,Comas,VERIFICADO,2026-06-16 23:35:00,5,1.0
170,39,Robo,Robaron una tienda cerca de mi casa,-11.871735,-77.071152,Puente Piedra,PENDIENTE,2026-05-01 22:22:00,4,0.5
171,6,Extorsión,Nota de extorsión dejada en el negocio,-11.941496,-77.052417,Comas,PENDIENTE,2026-07-01 02:31:00,5,0.5
172,28,Acoso,Acoso a estudiantes cerca del colegio,-12.048124,-77.036252,Cercado de Lima,PENDIENTE,2026-05-13 07:46:00,6,0.5
173,19,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.864069,-77.068273,Puente Piedra,VERIFICADO,2026-05-11 22:21:00,4,1.0
174,30,Alumbrado deficiente,Falta de iluminación en el paradero,-12.213348,-76.923542,Villa El Salvador,VERIFICADO,2026-06-26 16:48:00,1,1.0
175,39,Bache,Pista deteriorada genera accidentes,-11.999995,-77.059222,Independencia,VERIFICADO,2026-06-30 19:51:00,2,1.0
176,9,Robo,Sustracción de autopartes en la cuadra,-12.220702,-76.940964,Villa El Salvador,PENDIENTE,2026-05-10 04:48:00,1,0.5
177,3,Acoso,Acoso callejero reiterado en la misma zona,-12.182678,-77.026104,Chorrillos,PENDIENTE,2026-06-28 13:24:00,3,0.5
178,44,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.030061,-76.916987,Ate,VERIFICADO,2026-05-28 09:17:00,7,1.0
179,39,Bache,Vía con múltiples baches tras las lluvias,-12.175626,-77.024718,Chorrillos,VERIFICADO,2026-07-04 07:17:00,3,1.0
180,23,Acoso,Un sujeto acosó a una mujer en la vereda,-12.029974,-77.03057,Rímac,RECHAZADO,2026-06-12 23:34:00,6,0.0
181,16,Acoso,Acoso a estudiantes cerca del colegio,-12.029304,-77.028841,Rímac,PENDIENTE,2026-06-22 21:56:00,6,0.5
182,3,Robo,Sustracción de autopartes en la cuadra,-11.936979,-77.047424,Comas,VERIFICADO,2026-06-22 08:13:00,5,1.0
183,33,Acoso,Comentarios y seguimiento a una persona en la calle,-12.21769,-76.927081,Villa El Salvador,VERIFICADO,2026-05-11 21:45:00,1,1.0
184,49,Alumbrado deficiente,Poste sin luz hace varias semanas,-11.941423,-77.039718,Comas,VERIFICADO,2026-05-07 19:29:00,5,1.0
185,55,Bache,Bache grande en plena avenida,-11.934675,-77.053502,Comas,VERIFICADO,2026-06-24 04:14:00,5,1.0
186,16,Bache,Vía con múltiples baches tras las lluvias,-11.872703,-77.066942,Puente Piedra,VERIFICADO,2026-05-27 04:18:00,4,1.0
187,43,Alumbrado deficiente,Cuadra completamente oscura de noche,-11.987829,-77.090291,San Martín de Porres,PENDIENTE,2026-07-17 03:55:00,2,0.5
188,43,Robo,Robo a mano armada a un transeúnte,-12.220966,-76.940296,Villa El Salvador,PENDIENTE,2026-06-10 23:13:00,1,0.5
189,3,Extorsión,Nota de extorsión dejada en el negocio,-11.986458,-77.082107,San Martín de Porres,VERIFICADO,2026-07-18 23:05:00,2,1.0
190,16,Extorsión,Nota de extorsión dejada en el negocio,-11.941922,-77.052541,Comas,PENDIENTE,2026-06-25 02:06:00,5,0.5
191,30,Robo,Robo a mano armada a un transeúnte,-12.035088,-77.030212,Rímac,PENDIENTE,2026-05-09 20:08:00,6,0.5
192,36,Extorsión,Cobro de cupo a transportista,-12.032901,-77.03905,Rímac,PENDIENTE,2026-07-21 19:44:00,6,0.5
