id,usuario_id,categoria,descripcion,latitud,longitud,distrito,estado,created_at
25,11,Robo,Sustrajeron mi celular en la calle,-11.999198,-77.056284,Independencia,PENDIENTE,2026-07-16 00:55:00
26,37,Accidente de tránsito,Choque entre dos vehículos en la avenida,-11.979812,-77.086616,San Martín de Porres,RECHAZADO,2026-07-14 14:20:00
27,21,Accidente de tránsito,Choque entre dos vehículos en la avenida,-11.869284,-77.072966,Puente Piedra,VERIFICADO,2026-06-08 10:59:00
28,1,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.944335,-77.051537,Comas,VERIFICADO,2026-06-03 01:22:00
29,24,Vandalismo,Pintas en la fachada de un local,-12.159536,-76.968036,San Juan de Miraflores,VERIFICADO,2026-06-08 16:51:00
30,36,Vandalismo,Rotura de vidrios de un negocio,-11.927021,-77.053114,Comas,VERIFICADO,2026-05-15 22:47:00
31,19,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.140928,-76.990415,Surco,RECHAZADO,2026-06-03 12:16:00
32,6,Pandillaje,Pandilla merodeando el parque por las noches,-11.876318,-77.079729,Puente Piedra,PENDIENTE,2026-05-17 18:16:00
33,36,Pandillaje,Grupo de jóvenes generando disturbios,-12.038707,-77.040695,Rímac,PENDIENTE,2026-05-20 14:53:00
34,28,Acoso callejero,Un sujeto acosó a una mujer en la vereda,-11.986035,-77.07702,San Martín de Porres,VERIFICADO,2026-05-06 22:13:00
35,23,Pandillaje,Pandilla merodeando el parque por las noches,-12.208185,-76.938565,Villa El Salvador,PENDIENTE,2026-05-21 23:51:00
36,2,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-12.129352,-76.994866,Surco,VERIFICADO,2026-06-01 03:50:00
37,3,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.167109,-76.926631,Villa María del Triunfo,VERIFICADO,2026-06-14 04:50:00
38,2,Accidente de tránsito,Auto impactó un poste,-12.124535,-77.022713,Miraflores,PENDIENTE,2026-06-05 05:32:00
39,22,Robo,Me quitaron la mochila en el paradero,-11.928259,-77.050576,Comas,PENDIENTE,2026-07-14 23:16:00
40,28,Alumbrado público deficiente,Poste sin luz hace varias semanas,-12.136272,-76.983415,Surco,PENDIENTE,2026-05-15 06:36:00
41,28,Robo,Robaron una tienda cerca de mi casa,-11.982288,-77.049231,Independencia,RECHAZADO,2026-05-26 06:04:00
42,40,Alumbrado público deficiente,Cuadra completamente oscura de noche,-11.931405,-77.049794,Comas,PENDIENTE,2026-06-09 19:20:00
43,36,Acoso callejero,Un sujeto acosó a una mujer en la vereda,-11.970491,-77.061993,Los Olivos,PENDIENTE,2026-05-23 17:19:00
44,20,Vandalismo,Pintas en la fachada de un local,-11.970302,-77.0692,Los Olivos,PENDIENTE,2026-07-23 04:28:00
45,33,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.155123,-76.973224,San Juan de Miraflores,VERIFICADO,2026-07-21 17:05:00
46,20,Accidente de tránsito,Atropello a un peatón en el cruce,-11.975953,-77.079876,Los Olivos,PENDIENTE,2026-06-30 16:49:00
47,37,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.121212,-77.03512,Miraflores,VERIFICADO,2026-07-23 19:57:00
48,28,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.152218,-76.964982,San Juan de Miraflores,RECHAZADO,2026-06-29 00:15:00
49,30,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-12.043048,-77.033042,Cercado de Lima,VERIFICADO,2026-07-16 04:48:00
50,36,Extorsión,Amenaza a comerciante local,-12.153427,-76.969407,San Juan de Miraflores,VERIFICADO,2026-06-03 20:53:00
51,16,Vandalismo,Pintas en la fachada de un local,-12.05485,-77.047085,Cercado de Lima,VERIFICADO,2026-06-04 04:57:00
52,10,Accidente de tránsito,Atropello a un peatón en el cruce,-12.117221,-77.025872,Miraflores,VERIFICADO,2026-05-09 08:21:00
53,4,Accidente de tránsito,Atropello a un peatón en el cruce,-12.06801,-77.014304,La Victoria,VERIFICADO,2026-05-03 21:48:00
54,1,Alumbrado público deficiente,Poste sin luz hace varias semanas,-12.16993,-77.013731,Chorrillos,VERIFICADO,2026-06-23 13:47:00
55,32,Accidente de tránsito,Choque entre dos vehículos en la avenida,-11.868483,-77.08582,Puente Piedra,PENDIENTE,2026-06-13 19:51:00
56,30,Acoso callejero,Un sujeto acosó a una mujer en la vereda,-12.038361,-77.03432,Rímac,VERIFICADO,2026-07-12 19:05:00
57,30,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-11.986997,-77.088453,San Martín de Porres,VERIFICADO,2026-06-28 04:48:00
58,27,Vandalismo,Pintas en la fachada de un local,-12.033894,-76.91172,Ate,PENDIENTE,2026-05-07 23:22:00
59,3,Robo,Me quitaron la mochila en el paradero,-12.167113,-76.944592,Villa María del Triunfo,VERIFICADO,2026-05-20 03:30:00
60,14,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.861862,-77.083044,Puente Piedra,PENDIENTE,2026-07-17 23:45:00
61,20,Asalto,Sujetos armados asaltaron a un vecino,-11.965322,-77.005884,San Juan de Lurigancho,PENDIENTE,2026-06-18 07:45:00
62,16,Asalto,Asalto a mano armada frente al parque,-12.167994,-77.018792,Chorrillos,VERIFICADO,2026-05-16 21:36:00
63,35,Pandillaje,Pandilla merodeando el parque por las noches,-12.105021,-77.032049,San Isidro,PENDIENTE,2026-05-02 21:52:00
64,24,Extorsión,Amenaza a comerciante local,-12.21799,-76.928624,Villa El Salvador,RECHAZADO,2026-07-23 03:51:00
65,30,Pandillaje,Pandilla merodeando el parque por las noches,-11.870754,-77.08149,Puente Piedra,PENDIENTE,2026-05-12 04:28:00
66,37,Pandillaje,Pandilla merodeando el parque por las noches,-12.144426,-76.986081,Surco,VERIFICADO,2026-05-24 11:22:00
67,18,Vandalismo,Pintas en la fachada de un local,-12.038697,-77.023239,Rímac,PENDIENTE,2026-05-11 03:26:00
68,31,Extorsión,Amenaza a comerciante local,-12.040541,-77.050939,Cercado de Lima,PENDIENTE,2026-05-29 07:15:00
69,31,Alumbrado público deficiente,Poste sin luz hace varias semanas,-12.055867,-77.018692,La Victoria,PENDIENTE,2026-06-15 19:17:00
70,8,Accidente de tránsito,Auto impactó un poste,-12.142609,-76.992383,Surco,PENDIENTE,2026-05-24 02:47:00
71,38,Vandalismo,Pintas en la fachada de un local,-11.929147,-77.049875,Comas,VERIFICADO,2026-06-16 02:00:00
72,18,Robo,Sustrajeron mi celular en la calle,-11.981133,-77.081052,San Martín de Porres,PENDIENTE,2026-05-17 18:48:00
73,37,Vandalismo,Pintas en la fachada de un local,-12.056526,-77.121286,Callao,PENDIENTE,2026-05-07 03:55:00
74,26,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.03176,-76.912971,Ate,RECHAZADO,2026-05-20 02:36:00
75,16,Asalto,Asalto a mano armada frente al parque,-12.023611,-77.030074,Rímac,PENDIENTE,2026-07-19 03:33:00
76,20,Pandillaje,Pandilla merodeando el parque por las noches,-12.173627,-77.029595,Chorrillos,VERIFICADO,2026-05-13 23:13:00
77,6,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-12.167624,-76.943499,Villa María del Triunfo,VERIFICADO,2026-05-01 07:44:00
78,3,Accidente de tránsito,Auto impactó un poste,-12.170861,-77.01674,Chorrillos,RECHAZADO,2026-06-28 01:14:00
79,38,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.073504,-77.025204,La Victoria,PENDIENTE,2026-05-20 22:52:00
80,11,Vandalismo,Rotura de vidrios de un negocio,-12.176217,-77.021426,Chorrillos,VERIFICADO,2026-06-08 19:17:00
81,29,Asalto,Sujetos armados asaltaron a un vecino,-11.974412,-77.080309,San Martín de Porres,PENDIENTE,2026-07-17 03:05:00
82,37,Robo,Robaron una tienda cerca de mi casa,-11.865675,-77.071138,Puente Piedra,PENDIENTE,2026-05-23 10:41:00
83,12,Pandillaje,Grupo de jóvenes generando disturbios,-12.046719,-77.1187,Callao,PENDIENTE,2026-06-22 04:42:00
84,22,Pandillaje,Pandilla merodeando el parque por las noches,-12.060336,-77.109196,Callao,PENDIENTE,2026-07-10 00:05:00
85,8,Pandillaje,Pandilla merodeando el parque por las noches,-11.984301,-77.059977,Independencia,PENDIENTE,2026-07-09 10:03:00
86,40,Extorsión,Amenaza a comerciante local,-12.0412,-77.048729,Cercado de Lima,PENDIENTE,2026-07-10 01:18:00
87,8,Robo,Sustrajeron mi celular en la calle,-12.156904,-76.938785,Villa María del Triunfo,PENDIENTE,2026-05-02 14:05:00
88,30,Asalto,Asalto a mano armada frente al parque,-12.216732,-76.928968,Villa El Salvador,VERIFICADO,2026-07-05 19:26:00
89,16,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.036007,-77.038388,Rímac,PENDIENTE,2026-07-16 12:56:00
90,18,Pandillaje,Pandilla merodeando el parque por las noches,-12.126315,-76.992945,Surco,VERIFICADO,2026-05-01 04:19:00
91,10,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.029213,-77.035551,Rímac,PENDIENTE,2026-07-09 06:59:00
92,16,Pandillaje,Pandilla merodeando el parque por las noches,-12.15398,-76.936784,Villa María del Triunfo,RECHAZADO,2026-06-10 20:45:00
93,25,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-12.046804,-77.125575,Callao,VERIFICADO,2026-07-15 04:06:00
94,7,Extorsión,Amenaza a comerciante local,-11.969451,-77.0092,San Juan de Lurigancho,PENDIENTE,2026-07-23 23:04:00
95,22,Pandillaje,Pandilla merodeando el parque por las noches,-12.026265,-76.909653,Ate,VERIFICADO,2026-07-08 06:20:00
96,35,Robo,Sustrajeron mi celular en la calle,-12.038605,-76.913012,Ate,PENDIENTE,2026-06-06 23:47:00
97,7,Extorsión,Amenaza a comerciante local,-12.15442,-76.960832,San Juan de Miraflores,PENDIENTE,2026-05-06 04:03:00
98,28,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-12.160477,-76.933681,Villa María del Triunfo,VERIFICADO,2026-05-24 02:05:00
99,40,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.047843,-77.125238,Callao,PENDIENTE,2026-06-29 18:29:00
100,30,Vandalismo,Rotura de vidrios de un negocio,-12.03574,-77.033365,Rímac,VERIFICADO,2026-06-14 23:19:00
101,17,Extorsión,Amenaza a comerciante local,-12.181016,-77.023106,Chorrillos,VERIFICADO,2026-07-01 01:24:00
102,19,Robo,Robaron una tienda cerca de mi casa,-12.12561,-77.028681,Miraflores,PENDIENTE,2026-05-07 22:47:00
103,15,Alumbrado público deficiente,Poste sin luz hace varias semanas,-12.158368,-76.932582,Villa María del Triunfo,VERIFICADO,2026-05-18 17:57:00
104,20,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-11.980609,-77.080353,San Martín de Porres,VERIFICADO,2026-05-12 22:20:00
105,13,Acoso callejero,Comentarios y seguimiento a una persona en la calle,-12.021371,-77.034883,Rímac,PENDIENTE,2026-07-04 22:53:00
106,19,Alumbrado público deficiente,Cuadra completamente oscura de noche,-11.936433,-77.054294,Comas,VERIFICADO,2026-05-29 21:46:00
107,36,Alumbrado público deficiente,Cuadra completamente oscura de noche,-12.027486,-76.926422,Ate,VERIFICADO,2026-07-08 01:23:00
108,38,Pandillaje,Grupo de jóvenes generando disturbios,-12.104233,-77.040324,San Isidro,PENDIENTE,2026-05-04 17:35:00
109,5,Extorsión,Llamada exigiendo pago a cambio de 'seguridad',-12.172015,-77.028466,Chorrillos,RECHAZADO,2026-05-06 23:19:00
110,7,Accidente de tránsito,Atropello a un peatón en el cruce,-12.036187,-77.033127,Rímac,VERIFICADO,2026-07-09 08:47:00
111,7,Extorsión,Amenaza a comerciante local,-12.057019,-77.024105,La Victoria,RECHAZADO,2026-06-17 03:28:00
112,7,Alumbrado público deficiente,Cuadra completamente oscura de noche,-12.020866,-77.029303,Rímac,RECHAZADO,2026-05-08 07:12:00
113,6,Accidente de tránsito,Auto impactó un poste,-11.982888,-77.01073,San Juan de Lurigancho,PENDIENTE,2026-05-17 20:13:00
114,14,Accidente de tránsito,Choque entre dos vehículos en la avenida,-12.164529,-76.942049,Villa María del Triunfo,RECHAZADO,2026-07-16 00:54:00
115,35,Vandalismo,Daño a mobiliario urbano,-12.166101,-76.961571,San Juan de Miraflores,VERIFICADO,2026-05-17 00:50:00
116,21,Robo,Robaron una tienda cerca de mi casa,-12.162993,-76.976365,San Juan de Miraflores,PENDIENTE,2026-06-23 13:47:00
117,24,Asalto,Sujetos armados asaltaron a un vecino,-12.046323,-77.033892,Cercado de Lima,VERIFICADO,2026-05-06 19:58:00
118,20,Extorsión,Amenaza a comerciante local,-11.982683,-77.00782,San Juan de Lurigancho,PENDIENTE,2026-06-21 08:06:00
119,5,Asalto,Asalto a mano armada frente al parque,-12.132834,-77.001786,Surco,VERIFICADO,2026-06-05 17:37:00
120,25,Vandalismo,Daño a mobiliario urbano,-12.046289,-77.044196,Cercado de Lima,VERIFICADO,2026-05-15 21:41:00
